uuid,name,name_plain,description,description_plain,item,owner,owner_plain,visits,votes,has_resource_pack,has_whitelist,player_count
,"{""italic"":false,""text"":""wip :)""}","wip :)","{""italic"":false,""color"":""gray"",""text"":""Open for buisness!""}","Open for buisness!","stone","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""S""},{""color"":""#7485FF"",""text"":""w""},{""color"":""#7092FF"",""text"":""i""},{""color"":""#6DA0FF"",""text"":""t""},{""color"":""#69ADFF"",""text"":""c""},{""color"":""#66BBFF"",""text"":""h""},{""color"":""#63C9FF"",""text"":""C""},{""color"":""#5FD6FF"",""text"":""u""},{""color"":""#5CE4FF"",""text"":""b""},{""color"":""#58F1FF"",""text"":""e""},{""color"":""aqua"",""text"":""d""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | SwitchCubed",458,27,true,false,-1
,"{""italic"":false,""text"":""Necromancy [WIP]""}","Necromancy [WIP]","{""italic"":false,""color"":""gray"",""text"":""Necromancy, sadly on skyblock""}","Necromancy, sadly on skyblock","player_head","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""O""},{""color"":""#718EFF"",""text"":""t""},{""color"":""#6CA4FF"",""text"":""z""},{""color"":""#66BBFF"",""text"":""e""},{""color"":""#60D2FF"",""text"":""l""},{""color"":""#5BE8FF"",""text"":""i""},{""color"":""aqua"",""text"":""x""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | Otzelix",460,25,false,false,-1
,"{""italic"":false,""text"":""Backrooms Explorer (WIP)""}","Backrooms Explorer (WIP)","{""italic"":false,""color"":""gray"",""text"":""Game about exploring backrooms""}","Game about exploring backrooms","smooth_sandstone_stairs","{""italic"":false,""color"":""gray"",""text"":""Nukebob3""}","Nukebob3",619,25,false,false,-1
,"{""italic"":false,""text"":""Custom Skyblock!""}","Custom Skyblock!","{""italic"":false,""color"":""gray"",""text"":""Custom Items and Recipies""}","Custom Items and Recipies","grass_block","{""italic"":false,""color"":""gray"",""text"":""LilTerror11""}","LilTerror11",853,25,false,false,-1
,"{""italic"":false,""text"":""������ Dungeon Wanderer ������""}","������ Dungeon Wanderer ������","{""italic"":false,""color"":""gray"",""text"":""Explore, Fight and Survive!!!!""}","Explore, Fight and Survive!!!!","wild_armor_trim_smithing_template","{""italic"":false,""color"":""gray"",""text"":""Tormihunt""}","Tormihunt",392,25,false,false,-1
,"{""italic"":false,""text"":""idk 2 (evil edition)""}","idk 2 (evil edition)","{""italic"":false,""color"":""gray"",""text"":""stuck world, moose confirmed""}","stuck world, moose confirmed","sea_pickle","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""P""},{""color"":""#79E298"",""text"":""o""},{""color"":""#81E59F"",""text"":""l""},{""color"":""#89E8A5"",""text"":""i""},{""color"":""#91EBAC"",""text"":""s""},{""color"":""#9AEEB2"",""text"":""h""},{""color"":""#A2F0B8"",""text"":""K""},{""color"":""#AAF3BF"",""text"":""r""},{""color"":""#B2F6C5"",""text"":""o""},{""color"":""#BAF9CC"",""text"":""w""},{""color"":""#C2FCD2"",""text"":""a""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | PolishKrowa",189,24,false,false,-1
,"{""italic"":false,""extra"":[{""color"":""white"",""text"":""[""},{""color"":""#F3F3F3"",""text"":""E""},{""color"":""#E8E8E8"",""text"":""A""},{""color"":""#DCDCDC"",""text"":""S""},{""color"":""#D1D1D1"",""text"":""Y""},{""color"":""#C5C5C5"",""text"":""]""},{""color"":""#B9B9B9"",""text"":"" ""},{""color"":""#AEAEAE"",""text"":""O""},{""color"":""#A2A2A2"",""text"":""c""},{""color"":""#979797"",""text"":""e""},{""color"":""#8B8B8B"",""text"":""a""},{""color"":""#808080"",""text"":""n""},{""color"":""#747474"",""text"":"" ""},{""color"":""#686868"",""text"":""S""},{""color"":""#5D5D5D"",""text"":""u""},{""color"":""#515151"",""text"":""n""},{""color"":""#464646"",""text"":""f""},{""color"":""#3A3A3A"",""text"":""i""},{""color"":""#2E2E2E"",""text"":""s""},{""color"":""#232323"",""text"":""h""},{""color"":""#171717"",""text"":"" ""},{""color"":""#0C0C0C"",""text"":""P""},{""color"":""black"",""text"":""K""}],""text"":""""}","[EASY] Ocean Sunfish PK","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","player_head","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#1FFF0F"",""text"":""ᴍᴏᴅ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""#AAFF77"",""text"":""m""},{""color"":""#B0FF81"",""text"":""m""},{""color"":""#B6FF8A"",""text"":""m""},{""color"":""#BCFF94"",""text"":""m""},{""color"":""#C2FF9E"",""text"":""m""},{""color"":""#C8FFA7"",""text"":""a""},{""color"":""#CEFFB1"",""text"":""a""},{""color"":""#D4FFBB"",""text"":""a""},{""color"":""#DAFFC4"",""text"":""a""},{""color"":""#E0FFCE"",""text"":""a""},{""color"":""#E6FFD7"",""text"":""x""},{""color"":""#ECFFE1"",""text"":""x""},{""color"":""#F2FFEB"",""text"":""x""},{""color"":""#F8FFF4"",""text"":""x""},{""color"":""#FEFFFE"",""text"":""x""}],""text"":""""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴍᴏᴅ | mmmmmaaaaaxxxxx",285,24,false,false,-1
,"{""italic"":false,""text"":""Dravel""}","Dravel","{""italic"":false,""color"":""gray"",""text"":""official server of &6DeezCoin""}","official server of &6DeezCoin","black_concrete","{""italic"":false,""color"":""gray"",""text"":""awesomepikachu20""}","awesomepikachu20",715,24,false,false,-1
,"{""italic"":false,""text"":""Kit-FFA""}","Kit-FFA","{""italic"":false,""color"":""gray"",""text"":""Basic PVP with simple Kits!""}","Basic PVP with simple Kits!","player_head","{""italic"":false,""color"":""gray"",""text"":""Ceilith""}","Ceilith",375,23,false,false,-1
,"{""italic"":false,""text"":""Avatar PvP!""}","Avatar PvP!","{""italic"":false,""color"":""gray"",""text"":""join to try earth bending!""}","join to try earth bending!","beacon","{""italic"":false,""color"":""gray"",""text"":""bigeror""}","bigeror",269,22,false,false,-1
,"{""italic"":false,""text"":""PAWNED (rating now active)""}","PAWNED (rating now active)","{""italic"":false,""color"":""gray"",""text"":""PARRY ANYTHING""}","PARRY ANYTHING","skeleton_skull","{""italic"":false,""color"":""gray"",""text"":""Pevilion""}","Pevilion",341,22,false,true,-1
,"{""bold"":true,""italic"":false,""extra"":[{""color"":""red"",""text"":""Copper""},{""text"":"" ""},{""color"":""dark_gray"",""text"":""Prison""}],""text"":""""}","Copper Prison","{""bold"":true,""italic"":false,""color"":""blue"",""text"":""Your Last Steal Goes Wrong..""}","Your Last Steal Goes Wrong..","iron_bars","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""N""},{""color"":""#7388FF"",""text"":""o""},{""color"":""#6F99FF"",""text"":""b""},{""color"":""#6AAAFF"",""text"":""l""},{""color"":""#66BBFF"",""text"":""e""},{""color"":""#62CCFF"",""text"":""S""},{""color"":""#5EDDFF"",""text"":""k""},{""color"":""#59EEFF"",""text"":""y""},{""color"":""aqua"",""text"":""e""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | NobleSkye",199,22,false,true,-1
,"{""italic"":false,""extra"":[{""color"":""green"",""text"":""☄""},{""color"":""#5EF65E"",""text"":"" ""},{""color"":""#68EC68"",""text"":""B""},{""color"":""#71E371"",""text"":""l""},{""color"":""#7BD97B"",""text"":""o""},{""color"":""#84D084"",""text"":""c""},{""color"":""#8EC68E"",""text"":""k""},{""color"":""#97BD97"",""text"":""e""},{""color"":""#A1B3A1"",""text"":""t""},{""color"":""gray"",""text"":""B""},{""color"":""#B3A1B3"",""text"":""a""},{""color"":""#BD97BD"",""text"":""l""},{""color"":""#C68EC6"",""text"":""l""},{""color"":""#D084D0"",""text"":"" ""},{""color"":""#D97BD9"",""text"":""☄""},{""color"":""#E371E3"",""text"":"" ""},{""color"":""dark_gray"",""text"":""WIP""}],""text"":""""}","☄ BlocketBall ☄ WIP","{""italic"":false,""color"":""gray"",""text"":""4v4 rugby-like minigame!""}","4v4 rugby-like minigame!","player_head","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""n""},{""color"":""#7092FF"",""text"":""n""},{""color"":""#69ADFF"",""text"":""e""},{""color"":""#63C9FF"",""text"":""b""},{""color"":""#5CE4FF"",""text"":""e""},{""color"":""aqua"",""text"":""s""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | nnebes",232,22,false,false,-1
,"{""italic"":false,""text"":""Creativ""}","Creativ","{""italic"":false,""color"":""gray"",""text"":""Just creative with rules""}","Just creative with rules","end_crystal","{""italic"":false,""color"":""gray"",""text"":""LucaVmu""}","LucaVmu",297,22,false,false,-1
,"{""italic"":false,""text"":""Molten Parkour""}","Molten Parkour","{""italic"":false,""color"":""gray"",""text"":""An interesting parkour system""}","An interesting parkour system","magma_block","{""italic"":false,""color"":""gray"",""text"":""exoticbutters12""}","exoticbutters12",439,20,false,false,-1
,"{""italic"":false,""text"":""HappyPacman's World""}","HappyPacman's World","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","wild_armor_trim_smithing_template","{""italic"":false,""color"":""gray"",""text"":""HappyPacman""}","HappyPacman",328,20,false,false,-1
,"{""italic"":false,""text"":""PvP area""}","PvP area","{""italic"":false,""color"":""gray"",""text"":""NEW: 1.8 mode , anarchy mode!""}","NEW: 1.8 mode , anarchy mode!","diamond_sword","{""italic"":false,""color"":""gray"",""text"":""FlameGrowl""}","FlameGrowl",566,20,false,false,-1
,"{""italic"":false,""text"":""miette's world""}","miette's world","{""italic"":false,""color"":""gray"",""text"":""miette's world, pvp is enabled""}","miette's world, pvp is enabled","player_head","{""italic"":false,""color"":""gray"",""text"":""1osiris6""}","1osiris6",360,19,false,false,-1
,"{""italic"":false,""extra"":[{""italic"":true,""extra"":[{""color"":""#00AFFF"",""text"":""R""},{""color"":""#00B9E3"",""text"":""u""},{""color"":""#00C3C7"",""text"":""n""},{""color"":""#00CDAB"",""text"":""e""},{""color"":""#00D790"",""text"":""C""},{""color"":""#00E174"",""text"":""r""},{""color"":""#00EB58"",""text"":""a""},{""color"":""#00F53C"",""text"":""f""},{""color"":""#00FF20"",""text"":""t""}],""text"":""""},{""text"":"" ""},{""bold"":true,""color"":""red"",""text"":""[WIP]""}],""text"":""""}","RuneCraft [WIP]","{""italic"":false,""extra"":[{""bold"":true,""color"":""green"",""extra"":[{""color"":""dark_gray"",""extra"":[{""color"":""#00FFFF"",""text"":"" Siege87""}],""text"":"" :""}],""text"":""OWNER""},{""color"":""black"",""extra"":[{""bold"":true,""italic"":true,""extra"":[{""color"":""#00A0FF"",""text"":""R""},{""color"":""#00A7F3"",""text"":""u""},{""color"":""#00AFE7"",""text"":""n""},{""color"":""#00B6DA"",""text"":""e""},{""color"":""#00BDCE"",""text"":""S""},{""color"":""#00C5C2"",""text"":""c""},{""color"":""#00CCB6"",""text"":""a""},{""color"":""#00D3A9"",""text"":""p""},{""color"":""#00DA9D"",""text"":""e""},{""color"":""#00E291"",""text"":"" ""},{""color"":""#00E985"",""text"":""L""},{""color"":""#00F078"",""text"":""i""},{""color"":""#00F86C"",""text"":""k""},{""color"":""#00FF60"",""text"":""e""}],""text"":""""}],""text"":"" ""}],""text"":""""}","OWNER : Siege87 RuneScape Like","potion","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""_""},{""color"":""#728AFF"",""text"":""l""},{""color"":""#6D9EFF"",""text"":""o""},{""color"":""#68B1FF"",""text"":""g""},{""color"":""#64C5FF"",""text"":""l""},{""color"":""#5FD8FF"",""text"":""o""},{""color"":""#5AECFF"",""text"":""t""},{""color"":""aqua"",""text"":""_""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | _loglot_",298,18,true,false,-1
,"{""italic"":false,""text"":""Tiny Player PvP""}","Tiny Player PvP","{""italic"":false,""color"":""gray"",""text"":""NEW MAP UPDATE!""}","NEW MAP UPDATE!","ender_pearl","{""italic"":false,""color"":""gray"",""text"":""mmmfrogs""}","mmmfrogs",121,18,false,false,-1
,"{""italic"":false,""text"":""������Cheezy Cards������ Playable Beta""}","������Cheezy Cards������ Playable Beta","{""italic"":false,""color"":""gray"",""text"":""custom tcg card game""}","custom tcg card game","map","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""L""},{""color"":""#7BE39A"",""text"":""l""},{""color"":""#85E6A2"",""text"":""o""},{""color"":""#8FEAAA"",""text"":""y""},{""color"":""#9AEEB2"",""text"":""d""},{""color"":""#A4F1BA"",""text"":""1""},{""color"":""#AEF5C2"",""text"":""1""},{""color"":""#B8F8CA"",""text"":""c""},{""color"":""#C2FCD2"",""text"":""z""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | Lloyd11cz",300,17,false,false,-1
,"{""italic"":false,""text"":""TNT Wars""}","TNT Wars","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","dispenser","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""N""},{""color"":""#7581FF"",""text"":""i""},{""color"":""#728AFF"",""text"":""g""},{""color"":""#7094FF"",""text"":""h""},{""color"":""#6D9EFF"",""text"":""t""},{""color"":""#6BA8FF"",""text"":""S""},{""color"":""#68B1FF"",""text"":""t""},{""color"":""#66BBFF"",""text"":""e""},{""color"":""#64C5FF"",""text"":""a""},{""color"":""#61CEFF"",""text"":""l""},{""color"":""#5FD8FF"",""text"":""e""},{""color"":""#5CE2FF"",""text"":""r""},{""color"":""#5AECFF"",""text"":""_""},{""color"":""#57F5FF"",""text"":""0""},{""color"":""aqua"",""text"":""0""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | NightStealer_00",280,17,false,false,-1
,"{""italic"":false,""text"":""shoot game idk wip""}","shoot game idk wip","{""italic"":false,""color"":""gray"",""text"":"".""}",".","player_head","{""italic"":false,""color"":""gray"",""text"":""Jwt2007""}","Jwt2007",627,17,false,false,-1
,"{""bold"":true,""italic"":false,""color"":""yellow"",""text"":""Code's Games""}","Code's Games","{""italic"":false,""color"":""gray"",""text"":""Formerly known as Craft Me""}","Formerly known as Craft Me","crafting_table","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""C""},{""color"":""#7580FF"",""text"":""o""},{""color"":""#7289FF"",""text"":""d""},{""color"":""#7092FF"",""text"":""i""},{""color"":""#6E9BFF"",""text"":""n""},{""color"":""#6CA4FF"",""text"":""g""},{""color"":""#69ADFF"",""text"":""L""},{""color"":""#67B6FF"",""text"":""e""},{""color"":""#65C0FF"",""text"":""g""},{""color"":""#63C9FF"",""text"":""e""},{""color"":""#60D2FF"",""text"":""n""},{""color"":""#5EDBFF"",""text"":""d""},{""color"":""#5CE4FF"",""text"":""0""},{""color"":""#5AEDFF"",""text"":""1""},{""color"":""#57F6FF"",""text"":""0""},{""color"":""aqua"",""text"":""0""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | CodingLegend0100",718,17,false,false,-1
,"{""italic"":false,""text"":""JustGnat :O""}","JustGnat :O","{""italic"":false,""color"":""gray"",""text"":""Original minigames""}","Original minigames","player_head","{""italic"":false,""color"":""gray"",""text"":""JustGnat""}","JustGnat",584,17,false,false,-1
,"{""italic"":false,""text"":""im like 20% finished its a WIP""}","im like 20% finished its a WIP","{""italic"":false,""color"":""gray"",""text"":""WORK IN PROGRESS""}","WORK IN PROGRESS","barrier","{""italic"":false,""color"":""gray"",""text"":""TheJackPack""}","TheJackPack",258,17,false,false,-1
,"{""italic"":false,""extra"":[{""color"":""yellow"",""text"":""|""},{""color"":""#FFFF5C"",""text"":""|""},{""color"":""#FFFF64"",""text"":""-""},{""color"":""#FFFF6B"",""text"":""-""},{""color"":""#FFFF73"",""text"":""|""},{""color"":""#FFFF7A"",""text"":""|""},{""color"":""#FFFF81"",""text"":"" ""},{""color"":""#FFFF89"",""text"":""T""},{""color"":""#FFFF90"",""text"":""r""},{""color"":""#FFFF98"",""text"":""a""},{""color"":""#FFFF9F"",""text"":""i""},{""color"":""#FFFFA6"",""text"":""n""},{""color"":""#FFFFAE"",""text"":"" ""},{""color"":""#FFFFB5"",""text"":""L""},{""color"":""#FFFFBC"",""text"":""a""},{""color"":""#FFFFC4"",""text"":""n""},{""color"":""#FFFFCB"",""text"":""d""},{""color"":""#FFFFD3"",""text"":"" ""},{""color"":""#FFFFDA"",""text"":""|""},{""color"":""#FFFFE1"",""text"":""|""},{""color"":""#FFFFE9"",""text"":""-""},{""color"":""#FFFFF0"",""text"":""-""},{""color"":""#FFFFF8"",""text"":""|""},{""color"":""white"",""text"":""|""}],""text"":""""}","||--|| Train Land ||--||","{""bold"":true,""italic"":false,""color"":""yellow"",""text"":""TRAAAAAAAAAAAAAAAAAAAAINS""}","TRAAAAAAAAAAAAAAAAAAAAINS","furnace_minecart","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""L""},{""color"":""#85E6A2"",""text"":""u""},{""color"":""#9AEEB2"",""text"":""a""},{""color"":""#AEF5C2"",""text"":""l""},{""color"":""#C2FCD2"",""text"":""t""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | Lualt",137,17,false,false,-1
,"{""italic"":false,""text"":""MineSweeper""}","MineSweeper","{""italic"":false,""color"":""gray"",""text"":""Minigames & stuff""}","Minigames & stuff","player_head","{""italic"":false,""color"":""gray"",""text"":""Sofia5""}","Sofia5",288,16,false,false,-1
,"{""italic"":false,""text"":""Battle Train""}","Battle Train","{""italic"":false,""color"":""gray"",""text"":""Procedural roguelike pvp (Finally playable)""}","Procedural roguelike pvp (Finally playable)","minecart","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""A""},{""color"":""#718EFF"",""text"":""r""},{""color"":""#6CA4FF"",""text"":""v""},{""color"":""#66BBFF"",""text"":""e""},{""color"":""#60D2FF"",""text"":""l""},{""color"":""#5BE8FF"",""text"":""y""},{""color"":""aqua"",""text"":""x""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | Arvelyx",289,16,false,false,-1
,"{""italic"":false,""text"":""Sumo Remastered""}","Sumo Remastered","{""italic"":false,""color"":""gray"",""text"":""WIP Beta + Gameplay""}","WIP Beta + Gameplay","slime_ball","{""italic"":false,""color"":""gray"",""text"":""Sammy2D""}","Sammy2D",396,16,false,false,-1
,"{""italic"":false,""text"":""RPG""}","RPG","{""italic"":false,""color"":""gray"",""text"":""An pace to chill an have fun.""}","An pace to chill an have fun.","command_block","{""italic"":false,""color"":""gray"",""text"":""_M4XX""}","_M4XX",324,16,false,false,-1
,"{""italic"":false,""text"":""Dont cry because it's over...""}","Dont cry because it's over...","{""italic"":false,""color"":""gray"",""text"":""Cry because it happend.""}","Cry because it happend.","grass_block","{""italic"":false,""color"":""gray"",""text"":""Hakubia""}","Hakubia",50,15,false,false,-1
,"{""bold"":true,""italic"":false,""extra"":[{""color"":""#54311D"",""text"":""The""},{""text"":"" ""},{""color"":""dark_green"",""text"":""Tree""},{""text"":"" ""},{""color"":""green"",""text"":""Trunk""}],""text"":""""}","The Tree Trunk","{""italic"":false,""color"":""gray"",""text"":""Needed! Builders & Pack Makers""}","Needed! Builders & Pack Makers","spruce_sapling","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""a""},{""color"":""#7BE39A"",""text"":""v""},{""color"":""#85E6A2"",""text"":""i""},{""color"":""#8FEAAA"",""text"":""v""},{""color"":""#9AEEB2"",""text"":""a""},{""color"":""#A4F1BA"",""text"":""m""},{""color"":""#AEF5C2"",""text"":""7""},{""color"":""#B8F8CA"",""text"":""7""},{""color"":""#C2FCD2"",""text"":""7""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | avivam777",218,15,true,false,-1
,"{""italic"":false,""text"":""Toad's (new) Minigames""}","Toad's (new) Minigames","{""italic"":false,""color"":""gray"",""text"":""we have spleef n stuff""}","we have spleef n stuff","firework_rocket","{""italic"":false,""color"":""gray"",""text"":""supertoady""}","supertoady",73,14,false,false,-1
,"{""italic"":false,""text"":""Boss Fight Speedrun""}","Boss Fight Speedrun","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","dragon_head","{""italic"":false,""color"":""gray"",""text"":""Aton4000""}","Aton4000",131,14,false,false,-1
,"{""italic"":false,""text"":""Ascended RPG""}","Ascended RPG","{""italic"":false,""color"":""gray"",""text"":""WIP""}","WIP","netherite_axe","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""S""},{""color"":""#77E197"",""text"":""m""},{""color"":""#7DE39B"",""text"":""o""},{""color"":""#82E5A0"",""text"":""o""},{""color"":""#88E7A4"",""text"":""t""},{""color"":""#8EE9A9"",""text"":""h""},{""color"":""#94EBAD"",""text"":""T""},{""color"":""#9AEEB2"",""text"":""u""},{""color"":""#9FF0B7"",""text"":""r""},{""color"":""#A5F2BB"",""text"":""t""},{""color"":""#ABF4C0"",""text"":""l""},{""color"":""#B1F6C4"",""text"":""e""},{""color"":""#B6F8C9"",""text"":""8""},{""color"":""#BCFACD"",""text"":""7""},{""color"":""#C2FCD2"",""text"":""2""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | SmoothTurtle872",206,14,false,false,-1
,"{""italic"":false,""text"":""One Piece Battlegrounds""}","One Piece Battlegrounds","{""italic"":false,""color"":""gray"",""text"":""Fight With Devil Fruits""}","Fight With Devil Fruits","apple","{""italic"":false,""color"":""gray"",""text"":""Apmaster2""}","Apmaster2",165,13,false,false,-1
,"{""italic"":false,""text"":""Solars""}","Solars","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","black_concrete_powder","{""italic"":false,""color"":""gray"",""text"":""AgentCryoYT""}","AgentCryoYT",136,13,false,false,-1
,"{""italic"":false,""text"":""dub's skyminer""}","dub's skyminer","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","player_head","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""d""},{""color"":""#7FE49D"",""text"":""u""},{""color"":""#8CE9A7"",""text"":""b""},{""color"":""#9AEEB2"",""text"":""3""},{""color"":""#A7F2BD"",""text"":""2""},{""color"":""#B5F7C7"",""text"":""1""},{""color"":""#C2FCD2"",""text"":""0""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | dub3210",287,13,false,false,-1
,"{""italic"":false,""text"":""Experimental World""}","Experimental World","{""italic"":false,""color"":""gray"",""text"":""Creative? Code/Build here!""}","Creative? Code/Build here!","structure_block","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""R""},{""color"":""#7DE39B"",""text"":""e""},{""color"":""#88E7A4"",""text"":""d""},{""color"":""#94EBAD"",""text"":""S""},{""color"":""#9FF0B7"",""text"":""y""},{""color"":""#ABF4C0"",""text"":""v""},{""color"":""#B6F8C9"",""text"":""e""},{""color"":""#C2FCD2"",""text"":""n""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | RedSyven",30,13,false,false,-1
,"{""italic"":false,""text"":""Lethal Company""}","Lethal Company","{""italic"":false,""color"":""gray"",""text"":""WORK IN PROGRESS""}","WORK IN PROGRESS","player_head","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""E""},{""color"":""#79E298"",""text"":""x""},{""color"":""#81E59F"",""text"":""p""},{""color"":""#89E8A5"",""text"":""l""},{""color"":""#91EBAC"",""text"":""o""},{""color"":""#9AEEB2"",""text"":""d""},{""color"":""#A2F0B8"",""text"":""i""},{""color"":""#AAF3BF"",""text"":""n""},{""color"":""#B2F6C5"",""text"":""g""},{""color"":""#BAF9CC"",""text"":""C""},{""color"":""#C2FCD2"",""text"":""B""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | ExplodingCB",417,13,true,false,-1
,"{""italic"":false,""text"":""[WIP] CALL OF MINECRAFT [WIP]""}","[WIP] CALL OF MINECRAFT [WIP]","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","crossbow","{""italic"":false,""color"":""gray"",""text"":""M0a____""}","M0a____",165,13,false,false,-1
